Country,Year,Resource,Metric,Kept_Source,Kept_Value,Dropped_Source,Dropped_Value,Pct_Discrepancy
Australia,1984,Coal,Production,EI_CSV,141.555,OWID,159472000.0,112657171.0
Australia,1984,Oil,Production,EI_CSV,562.7667187,OWID,26376971.0,4686916.9
Australia,1985,Coal,Production,EI_CSV,168.5635,OWID,195241000.0,115826280.0
Australia,1985,Oil,Production,EI_CSV,655.2011796,OWID,30447317.0,4646918.0
Australia,1986,Coal,Production,EI_CSV,180.326,OWID,207671000.0,115164102.6
Australia,1986,Oil,Production,EI_CSV,588.2174498,OWID,27151450.0,4615786.5
Australia,1987,Coal,Production,EI_CSV,190.074,OWID,223276000.0,117467833.5
Australia,1987,Oil,Production,EI_CSV,623.4070788,OWID,29076240.0,4663985.6
Australia,1988,Coal,Production,EI_CSV,189.5125,OWID,220054000.0,116115723.5
Australia,1988,Oil,Production,EI_CSV,592.6893655,OWID,27492622.0,4638522.5
Australia,1989,Coal,Production,EI_CSV,204.5395,OWID,238337000.0,116523603.2
Australia,1989,Oil,Production,EI_CSV,562.355655,OWID,25937279.0,4612155.4
Australia,1990,Coal,Production,EI_CSV,213.1425,OWID,210682000.0,98845508.0
Australia,1990,Oil,Production,EI_CSV,647.1793833,OWID,30547662.0,4720022.9
Australia,1991,Coal,Production,EI_CSV,221.1215,OWID,219596000.0,99310007.8
Australia,1991,Oil,Production,EI_CSV,613.0850379,OWID,28835416.0,4703230.6
Australia,1992,Coal,Production,EI_CSV,231.8315,OWID,229372000.0,98939000.2
Australia,1992,Oil,Production,EI_CSV,605.0290899,OWID,28326395.0,4681723.6
Australia,1993,Coal,Production,EI_CSV,230.8485,OWID,227693000.0,98632986.2
Australia,1993,Oil,Production,EI_CSV,567.785249,OWID,26300345.0,4631993.7
Australia,1994,Coal,Production,EI_CSV,236.387,OWID,232703000.0,98441438.7
Australia,1994,Oil,Production,EI_CSV,609.9913052,OWID,28505191.0,4672948.7
Australia,1995,Coal,Production,EI_CSV,248.1345,OWID,244285000.0,98448523.6
Australia,1995,Cobalt,Production,EI_CSV,0.824000001,EI_Excel,0.824,0.0
Australia,1995,Lithium,Production,EI_CSV,2.233481407,EI_Excel,2.2334814453125,0.0
Australia,1995,Oil,Production,EI_CSV,578.8428583,OWID,27031036.0,4669740.1
Australia,1995,Rare Earth,Production,EI_CSV,0.109999999,EI_Excel,0.10999999999999999,0.0
Australia,1996,Coal,Production,EI_CSV,256.9845,OWID,252242000.0,98154458.0
Australia,1996,Cobalt,Production,EI_CSV,0.941999972,EI_Excel,0.942,0.0
Australia,1996,Lithium,Production,EI_CSV,3.88213563,EI_Excel,3.8821357421875,0.0
Australia,1996,Oil,Production,EI_CSV,611.5729567,OWID,28406671.0,4644754.0
Australia,1997,Coal,Production,EI_CSV,281.0205,OWID,274850000.0,97804152.7
Australia,1997,Cobalt,Production,EI_CSV,1.218999982,EI_Excel,1.219,0.0
Australia,1997,Lithium,Production,EI_CSV,1.576606274,EI_Excel,1.5766063232421874,0.0
Australia,1997,Oil,Production,EI_CSV,658.2702007,OWID,30000000.0,4557299.1
Australia,1998,Coal,Production,EI_CSV,290.749,OWID,287640000.0,98930592.8
Australia,1998,Cobalt,Production,EI_CSV,1.269000053,EI_Excel,1.269,0.0
Australia,1998,Lithium,Production,EI_CSV,1.17999506,EI_Excel,1.1799951171875,0.0
Australia,1998,Oil,Production,EI_CSV,630.0988025,OWID,28000000.0,4443647.5
Australia,1999,Coal,Production,EI_CSV,305.832,OWID,298680000.0,97661361.2
Australia,1999,Cobalt,Production,EI_CSV,1.010344863,EI_Excel,1.0103448486328126,0.0
Australia,1999,Lithium,Production,EI_CSV,1.505701303,EI_Excel,1.5057012939453125,0.0
Australia,1999,Oil,Production,EI_CSV,612.4836256,OWID,27000000.0,4408181.1
Australia,2000,Coal,Production,EI_CSV,313.9175,OWID,312203000.0,99453737.4
Australia,2000,Cobalt,Production,EI_CSV,3.598479986,EI_Excel,3.59847998046875,0.0
