FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
San Antonio,port,-33.59,-71.62,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.12,kMT,1.23
Ventanas,port,-32.74,-71.49,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.12,kMT,1.23
Barquito,port,-27.07,-70.84,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.06,kMT,1.23
Coquimbo,port,-29.96,-71.35,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.06,kMT,1.23
Angamos,port,-23.1,-70.42,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,11.78,kMT,47.14
Mejillones,port,-23.1,-70.45,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,7.07,kMT,47.14
Antofagasta (ATI),port,-23.65,-70.4,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,7.07,kMT,47.14
Iquique,port,-20.21,-70.15,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,7.07,kMT,47.14
San Antonio,port,-33.59,-71.62,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,4.71,kMT,47.14
Ventanas,port,-32.74,-71.49,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,4.71,kMT,47.14
Barquito,port,-27.07,-70.84,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,2.36,kMT,47.14
Coquimbo,port,-29.96,-71.35,Italy,country,45.46,9.19,port_to_country,cathode,Copper,,2.36,kMT,47.14
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,,10.09,kMT,40.38
Mejillones,port,-23.1,-70.45,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,,6.06,kMT,40.38
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,,6.06,kMT,40.38
Iquique,port,-20.21,-70.15,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,,6.06,kMT,40.38
San Antonio,port,-33.59,-71.62,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,,4.04,kMT,40.38
