Year,Country Code,Value,Variable
2005,ARG,19577.851,"Gross domestic product per capita, constant prices"
2006,ARG,20947.882,"Gross domestic product per capita, constant prices"
2007,ARG,22610.954,"Gross domestic product per capita, constant prices"
2008,ARG,23297.932,"Gross domestic product per capita, constant prices"
2009,ARG,21706.693,"Gross domestic product per capita, constant prices"
2010,ARG,23521.279,"Gross domestic product per capita, constant prices"
2011,ARG,24647.633,"Gross domestic product per capita, constant prices"
2012,ARG,24118.874,"Gross domestic product per capita, constant prices"
2013,ARG,24424.139,"Gross domestic product per capita, constant prices"
2014,ARG,23550.112,"Gross domestic product per capita, constant prices"
2015,ARG,23933.897,"Gross domestic product per capita, constant prices"
2016,ARG,23189.53,"Gross domestic product per capita, constant prices"
2017,ARG,23597.118,"Gross domestic product per capita, constant prices"
2018,ARG,22747.258,"Gross domestic product per capita, constant prices"
2019,ARG,22071.752,"Gross domestic product per capita, constant prices"
2020,ARG,19694.565,"Gross domestic product per capita, constant prices"
2021,ARG,21599.809,"Gross domestic product per capita, constant prices"
2022,ARG,22461.445,"Gross domestic product per capita, constant prices"
2023,ARG,21890.108,"Gross domestic product per capita, constant prices"
2024,ARG,21074.265,"Gross domestic product per capita, constant prices"
2025,ARG,21909.558,"Gross domestic product per capita, constant prices"
2026,ARG,22667.678,"Gross domestic product per capita, constant prices"
2027,ARG,23318.598,"Gross domestic product per capita, constant prices"
2028,ARG,23803.442,"Gross domestic product per capita, constant prices"
2029,ARG,24109.953,"Gross domestic product per capita, constant prices"
1980,ARM,,"Gross domestic product per capita, constant prices"
1981,ARM,,"Gross domestic product per capita, constant prices"
1982,ARM,,"Gross domestic product per capita, constant prices"
1983,ARM,,"Gross domestic product per capita, constant prices"
1984,ARM,,"Gross domestic product per capita, constant prices"
1985,ARM,,"Gross domestic product per capita, constant prices"
1986,ARM,,"Gross domestic product per capita, constant prices"
1987,ARM,,"Gross domestic product per capita, constant prices"
1988,ARM,,"Gross domestic product per capita, constant prices"
1989,ARM,,"Gross domestic product per capita, constant prices"
1990,ARM,,"Gross domestic product per capita, constant prices"
1991,ARM,,"Gross domestic product per capita, constant prices"
1992,ARM,2869.118,"Gross domestic product per capita, constant prices"
1993,ARM,2524.428,"Gross domestic product per capita, constant prices"
1994,ARM,2725.446,"Gross domestic product per capita, constant prices"
1995,ARM,3008.385,"Gross domestic product per capita, constant prices"
1996,ARM,3213.801,"Gross domestic product per capita, constant prices"
1997,ARM,3354.408,"Gross domestic product per capita, constant prices"
1998,ARM,3599.154,"Gross domestic product per capita, constant prices"
1999,ARM,3737.288,"Gross domestic product per capita, constant prices"
2000,ARM,3968.862,"Gross domestic product per capita, constant prices"
2001,ARM,4373.031,"Gross domestic product per capita, constant prices"
2002,ARM,5037.008,"Gross domestic product per capita, constant prices"
2003,ARM,5763.714,"Gross domestic product per capita, constant prices"
2004,ARM,6388.343,"Gross domestic product per capita, constant prices"
2005,ARM,7338.391,"Gross domestic product per capita, constant prices"
2006,ARM,8334.602,"Gross domestic product per capita, constant prices"
2007,ARM,9512.249,"Gross domestic product per capita, constant prices"
2008,ARM,10207.267,"Gross domestic product per capita, constant prices"
2009,ARM,8792.453,"Gross domestic product per capita, constant prices"
2010,ARM,8996.936,"Gross domestic product per capita, constant prices"
2011,ARM,9414.576,"Gross domestic product per capita, constant prices"
2012,ARM,10079.399,"Gross domestic product per capita, constant prices"
2013,ARM,10388.322,"Gross domestic product per capita, constant prices"
2014,ARM,10744.185,"Gross domestic product per capita, constant prices"
2015,ARM,11074.408,"Gross domestic product per capita, constant prices"
2016,ARM,11087.768,"Gross domestic product per capita, constant prices"
2017,ARM,11974.031,"Gross domestic product per capita, constant prices"
2018,ARM,12644.049,"Gross domestic product per capita, constant prices"
2019,ARM,13637.865,"Gross domestic product per capita, constant prices"
2020,ARM,12667.555,"Gross domestic product per capita, constant prices"
2021,ARM,13384.879,"Gross domestic product per capita, constant prices"
2022,ARM,15070.693,"Gross domestic product per capita, constant prices"
2023,ARM,16382.681,"Gross domestic product per capita, constant prices"
2024,ARM,17366.109,"Gross domestic product per capita, constant prices"
2025,ARM,18276.368,"Gross domestic product per capita, constant prices"
2026,ARM,19097.276,"Gross domestic product per capita, constant prices"
2027,ARM,19955.057,"Gross domestic product per capita, constant prices"
2028,ARM,20851.367,"Gross domestic product per capita, constant prices"
2029,ARM,21787.935,"Gross domestic product per capita, constant prices"
1980,ABW,,"Gross domestic product per capita, constant prices"
1981,ABW,,"Gross domestic product per capita, constant prices"
1982,ABW,,"Gross domestic product per capita, constant prices"
1983,ABW,,"Gross domestic product per capita, constant prices"
1984,ABW,,"Gross domestic product per capita, constant prices"
1985,ABW,,"Gross domestic product per capita, constant prices"
1986,ABW,21671.743,"Gross domestic product per capita, constant prices"
1987,ABW,25441.905,"Gross domestic product per capita, constant prices"
1988,ABW,30013.645,"Gross domestic product per capita, constant prices"
1989,ABW,32962.475,"Gross domestic product per capita, constant prices"
1990,ABW,32967.377,"Gross domestic product per capita, constant prices"
1991,ABW,34292.324,"Gross domestic product per capita, constant prices"
1992,ABW,35073.111,"Gross domestic product per capita, constant prices"
1993,ABW,35244.59,"Gross domestic product per capita, constant prices"
1994,ABW,36215.205,"Gross domestic product per capita, constant prices"
1995,ABW,36094.061,"Gross domestic product per capita, constant prices"
1996,ABW,35131.701,"Gross domestic product per capita, constant prices"
1997,ABW,36168.376,"Gross domestic product per capita, constant prices"
1998,ABW,35991.147,"Gross domestic product per capita, constant prices"
1999,ABW,35993.132,"Gross domestic product per capita, constant prices"
2000,ABW,38361.726,"Gross domestic product per capita, constant prices"
2001,ABW,39593.982,"Gross domestic product per capita, constant prices"
2002,ABW,38949.239,"Gross domestic product per capita, constant prices"
2003,ABW,38935.868,"Gross domestic product per capita, constant prices"
2004,ABW,40893.21,"Gross domestic product per capita, constant prices"
2005,ABW,39695.063,"Gross domestic product per capita, constant prices"
2006,ABW,39427.559,"Gross domestic product per capita, constant prices"
2007,ABW,40343.732,"Gross domestic product per capita, constant prices"
2008,ABW,40771.924,"Gross domestic product per capita, constant prices"
2009,ABW,35766.869,"Gross domestic product per capita, constant prices"
2010,ABW,34709.273,"Gross domestic product per capita, constant prices"
2011,ABW,35615.545,"Gross domestic product per capita, constant prices"
2012,ABW,34730.664,"Gross domestic product per capita, constant prices"
2013,ABW,36416.742,"Gross domestic product per capita, constant prices"
2014,ABW,35459.05,"Gross domestic product per capita, constant prices"
2015,ABW,34879.199,"Gross domestic product per capita, constant prices"
2016,ABW,35211.099,"Gross domestic product per capita, constant prices"
2017,ABW,37690.202,"Gross domestic product per capita, constant prices"
2018,ABW,38526.637,"Gross domestic product per capita, constant prices"
2019,ABW,37537.78,"Gross domestic product per capita, constant prices"
2020,ABW,28697.096,"Gross domestic product per capita, constant prices"
2021,ABW,36930.258,"Gross domestic product per capita, constant prices"
2022,ABW,40940.974,"Gross domestic product per capita, constant prices"
2023,ABW,43178.994,"Gross domestic product per capita, constant prices"
2024,ABW,43694.872,"Gross domestic product per capita, constant prices"
2025,ABW,44187.587,"Gross domestic product per capita, constant prices"
2026,ABW,44742.213,"Gross domestic product per capita, constant prices"
2027,ABW,45316.552,"Gross domestic product per capita, constant prices"
2028,ABW,45914.084,"Gross domestic product per capita, constant prices"
2029,ABW,46519.494,"Gross domestic product per capita, constant prices"
1980,AUS,26309.998,"Gross domestic product per capita, constant prices"
1981,AUS,26963.346,"Gross domestic product per capita, constant prices"
1982,AUS,26539.592,"Gross domestic product per capita, constant prices"
1983,AUS,26081.926,"Gross domestic product per capita, constant prices"
1984,AUS,27394.216,"Gross domestic product per capita, constant prices"
1985,AUS,28483.28,"Gross domestic product per capita, constant prices"
