Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ)
TGO,Togo,2021,-0.893,-0.8731945478680769,-0.8658084070744689,-0.8356359769115707,-0.865447379853314,-0.8626743589625577,-0.8852882340005672,-0.8750223242525453,-0.8871007529270738,-0.9085789489625176
TGO,Togo,2022,-0.893,-0.8685365993463193,-0.8578548994112086,-0.8145529545115884,-0.8578846280325165,-0.8629302548914388,-0.884899078257318,-0.8699606062980954,-0.8875649713882733,-0.9126454019801156
TGO,Togo,2023,-0.893,-0.8648512393252927,-0.8528617480867966,-0.7973393842409051,-0.8534942867670547,-0.8560947725266048,-0.8864792317873129,-0.867120501561455,-0.8899708000589293,-0.9154491895732829
TGO,Togo,2024,-0.893,-0.8626763701724531,-0.8503581407082954,-0.7833257030438744,-0.8517235078508453,-0.8457961175876505,-0.8898125161575666,-0.8662598245023457,-0.8941072934873515,-0.9200278580416956
TGO,Togo,2025,-0.893,-0.8601920498388936,-0.849955622934988,-0.7719800176128052,-0.8521268289008996,-0.822250373060132,-0.8947100626634245,-0.8671726394680547,-0.8997904647047191,-0.9235503893661258
TGO,Togo,2026,-0.893,-0.8549811709251527,-0.8513336917871627,-0.7628797979284848,-0.8543453146209204,-0.7641292940248412,-0.9010068623023451,-0.8696838348767366,-0.9068598399751695,-0.9296107318855611
TGO,Togo,2027,-0.893,-0.8557334714631526,-0.8542279090819053,-0.7556893909293791,-0.8580897496880253,-0.7342937465981239,-0.9085587515880087,-0.8736445095270091,-0.9151754538431776,-0.9461882604495915
TGO,Togo,2028,-0.893,-0.8588132870947931,-0.8584200941562912,-0.7501421576251343,-0.8631270962710149,-0.7128221769567977,-0.9172397791452311,-0.8789280494762681,-0.9246152282089531,-0.9652117149186538
TGO,Togo,2029,-0.893,-0.8650027708848427,-0.8637302321533522,-0.746026283021863,-0.8692695820546854,-0.70758882192284,-0.9269399049818079,-0.8854267921246625,-0.9350726863537053,-0.9859678644658252
TGO,Togo,2030,-0.893,-0.8704252199256791,-0.8700097977716481,-0.7431735036875152,-0.8763659078178951,-0.6899427176193659,-0.9375629904103554,-0.8930491896128625,-0.9464549591087301,-1.006842693377061
TTO,Trinidad and Tobago,2020,0.055,0.0009118572168826701,-0.015735425303560646,0.02005618553002686,-0.016847653806151386,-0.0371760683177712,-0.0031987806373708974,0.02274108723264366,-0.0015227327530293322,0.0389782457902743
TTO,Trinidad and Tobago,2021,0.055,-0.04584199338691411,-0.06996604273943896,-0.010132651397561032,-0.07035368811053377,-0.12991422187308868,-0.052219486895325226,-0.007183061851956274,-0.049082751485565596,0.022115957258156665
TTO,Trinidad and Tobago,2022,0.055,-0.07615998860094714,-0.11057891034469414,-0.036544330997014485,-0.10908068090415923,-0.14632927681604627,-0.0932215204090883,-0.035121932084868746,-0.08882540729052102,0.01042215003881504
TTO,Trinidad and Tobago,2023,0.055,-0.09926649200461843,-0.13995606020518458,-0.05995562257138787,-0.13589921124290083,-0.14723129764937962,-0.12721781610466198,-0.061372698048509394,-0.12174967726900096,-0.0007495529459222126
