NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Calichera,mine,Mine (idle),Idle,Tarapacá,nan,-19.869999999999948,-69.85999999999996,1.0,3,0.0106,0.0,0.0,0.0225,15
Can Can,mine,Mine (idle),Idle,Atacama,nan,-26.802221999999972,-69.26305599999995,1.0,2,0.00707,0.00872,0.0,0.1591,11
Canchas,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-25.458999999999943,-70.20699999999994,3.114,5,0.01767,0.0,0.0,0.1657,11
Candelaria,mine,Mine (active),Active,Atacama,Cía. Contractual Minera Candelaria ,-27.51699999999994,-70.29099999999994,4.103,8,0.02827,0.0013,0.0,0.19231,11
Carmen,mine,Mine (idle),Idle,Atacama,Compañía Minera Carmen de Andacollo ,-26.346089999999947,-70.14299999999997,1.0,1,0.00353,0.0,0.0,0.14174,5
Carmen de Andacollo,mine,Mine (active),Active,Coquimbo,Compañía Minera Carmen de Andacollo ,-30.249999999999943,-71.09999999999997,3.749,3,0.0106,0.0,0.0,0.15107,13
Carmen-Margarita,mine,Mine (active),Active,Valparaíso,nan,-32.49199999999996,-71.07099999999997,2.891,6,0.0212,0.0,0.0,0.12512,1
Caserones,mine,Mine (active),Active,Atacama,Minera Lumina Copper Chile (MILCC),-28.16599999999994,-69.54099999999994,3.997,4,0.01413,0.0,0.0,0.16751,11
Caspiche,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.68999999999994,-69.29399999999998,3.686,4,0.01413,0.0,0.0,0.16076,11
Casualidad,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-25.74599999999998,-69.96499999999997,3.698,5,0.01767,0.0,0.0,0.1657,11
Casuto,mine,Mine (idle),Idle,Coquimbo,nan,-31.787399999999938,-71.44476999999995,1.0,2,0.00707,0.00611,0.0,0.12242,1
Catemu,mine,Mine (active),Active,Valparaíso,nan,-32.72399999999993,-70.95699999999994,3.059,6,0.0212,0.0,0.0,0.12512,1
Centinela,mine,Mine (active),Active,Antofagasta,Antofagasta plc,-22.987999999999943,-69.07599999999996,4.288,19,0.06714,0.0,0.0345,0.15278,2
