FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Antofagasta (ATI),port,-23.65,-70.4,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Barquito,port,-27.07,-70.84,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Caldera,port,-27.07,-70.82,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Coloso,port,-23.76,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.02,kMT,0.07
Coquimbo,port,-29.96,-71.35,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Mejillones,port,-23.1,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Patache,port,-20.8,-70.22,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
San Antonio,port,-33.59,-71.62,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Ventanas,port,-32.74,-71.49,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,35.5,kMT,621.09
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,28.49,kMT,621.09
Barquito,port,-27.07,-70.84,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,7.59,kMT,621.09
Caldera,port,-27.07,-70.82,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,50.79,kMT,621.09
Coloso,port,-23.76,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,211.52,kMT,621.09
Coquimbo,port,-29.96,-71.35,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,16.27,kMT,621.09
Mejillones,port,-23.1,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,37.21,kMT,621.09
Patache,port,-20.8,-70.22,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,67.21,kMT,621.09
San Antonio,port,-33.59,-71.62,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,8.39,kMT,621.09
Ventanas,port,-32.74,-71.49,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,64.16,kMT,621.09
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.18,kMT,3.18
Antofagasta (ATI),port,-23.65,-70.4,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.15,kMT,3.18
