excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
TGO,-0.0583402269656967,0.037936094448051336,-0.016707281512071598,0.038986306253254485,0.004087437168561082,0.01487157633358815,0.008151818250700141,0.06786684318021483,-4.2489224717937474e-05,0.0312675272175453,-0.023871225268633153,-0.021409857076102105,-0.01569104136118808,-0.005983367873111578,-0.010191077772748839,0.07738716752725183,-0.02848187457309451,0.4773298343872361,0.004510840415212568,0.007705565094660585,-0.012531072521843687,0.004634593912620772,0.03945719068416414,0.002262554521542551
TTO,-0.0564121420312268,0.0366096768599058,-0.019037464840623786,0.041647384917829405,0.005345440363242008,0.015002423186333649,0.007129784761857773,0.06864316986244555,-8.212204170749245e-05,0.03153405070267343,-0.024655179450802565,-0.023292753663719648,-0.012946367239915851,-0.007338947486346947,-0.011380914434165968,0.07785894171566017,-0.028592067408848176,0.47366531365927467,0.007806350193432009,0.007713761259523921,-0.014342297668759628,0.005152684111237516,0.038488386816607344,0.0020435312798283774
TZA,-0.055158404702424425,0.03706204073028679,-0.019305883772008772,0.04017592518016983,0.005722605352128114,0.015521810274084379,0.005839187295465074,0.06784994132641961,0.0022361168765015304,0.03252078786026797,-0.023718358213595844,-0.02214429489984846,-0.015217213371096116,-0.005838713383037876,-0.011043653452234199,0.08110814099264692,-0.03141700718752165,0.47768317449497893,0.0088901166705335,0.008319762419406107,-0.013604877680668698,0.006850570968773957,0.03844790622913772,0.004762661085003704
UGA,-0.05467001969720005,0.035273625302585244,-0.017912158048108598,0.041172758497008737,0.004491927146268668,0.015820639301267328,0.0065500961109976165,0.06800191441801251,-0.004052530005885622,0.029946980118026198,-0.022794837247429648,-0.022383471242681967,-0.014119426299654706,-0.005643034053189394,-0.009485169019265707,0.07652270597693005,-0.030521150531069696,0.4782413699621196,0.002173891793108131,0.00738108754372646,-0.013774670785623869,0.0008932825161504965,0.042115585470470444,0.001177962596826189
UZB,-0.0572596410096622,0.041695462403634816,-0.015054671590009483,0.038153384096852504,0.006233602739219837,0.018285672672703604,0.009472552729443936,0.06881291136112339,-0.0042551705817959464,0.03554352200621236,-0.020803278044882058,-0.01989639252586547,-0.014664454300889829,-0.0070901034418740854,-0.025010779027142296,0.06865251401090677,-0.03335784673273739,0.47699440605767623,0.006189161596733951,0.016580662056988854,-0.011832006946583061,0.008618097222554617,0.03951355932036726,0.00276185754622776
VEN,-0.055435562803286736,0.041076415582119725,-0.018955622983469443,0.039694124811217195,0.004934046146465225,0.01355741228311679,0.009814724913651924,0.0742482301891345,-0.0015012427945180955,0.03147961830752007,-0.021294493573215084,-0.02103286474281222,-0.00978249368299889,-0.009201488022389803,-0.011396191360585058,0.07182445437382629,-0.032124443573623235,0.4677391171141002,0.004095122057923949,0.008445909069545104,-0.01093494534317342,0.00457282371152058,0.04343357838673858,0.0021483210767183
VNM,-0.06922139708418208,0.036868020462958194,-0.020533640806015656,0.0447542726214965,0.005798999611990751,0.015402868666133046,0.007421107805387414,0.06815042195903287,-0.0029767090177800766,0.030868697830997716,-0.021465928169673763,-0.023521258477522178,-0.013038325124941958,-0.008302042546531782,-0.012364316673218731,0.08333705068562558,-0.028000667386196207,0.4763179915591492,0.005814396608347565,0.008118965673254507,-0.014324090211269458,0.002241965294108304,0.037249489414414874,0.0029845680708115428
YEM,-0.05860140770282251,0.03851433732068889,-0.0179219256803187,0.040986803788121196,0.003267091301377623,0.013909593798270113,0.007664774669397184,0.06700349466517953,-0.00045144248497968367,0.03151369228521664,-0.02329931749152519,-0.022709889474399177,-0.01655848761625028,-0.008583968673461837,-0.01153799288169246,0.07838529398033471,-0.02936442405675358,0.47588268813644236,0.00842541348225151,0.008648416780025694,-0.012937389159920775,0.0037628740312562253,0.03854839885622543,0.0023955992706803046
ZMB,-0.07151469589997934,0.03338348051605937,-0.0253286956759753,0.038842107732930196,0.005502656810961874,0.01296249042943814,0.0068892492059980034,0.07202097542068232,-0.008750202226069126,0.02913442149599325,-0.024042475441469358,-0.02087865997585916,-0.01746355952116408,-0.0076818634852366,-0.012324808064297062,0.08715181770761994,-0.030477593444045072,0.4744273312536111,-0.0031597268523931308,0.008386407636868577,-0.013230816728130214,0.0004973558651961534,0.04731831105852026,0.002148276707383057
ZWE,-0.05648171508145878,0.03325953987896361,-0.016667476461035897,0.0411695122664865,0.0020727422505062306,0.01415758077845143,0.01136619090454879,0.068276657694294,-0.005284437822869869,0.030639359395991647,-0.026093966376199186,-0.020447343392967422,-0.012307608829565749,-0.005978708929696761,-0.007788701751212138,0.08417424094605752,-0.02453153017899186,0.4776529866024128,0.006646553137313966,0.007216485549456165,-0.010175822971907885,0.006344117651954869,0.04362196966742685,0.0005323089843641904
