excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
DZA,-0.0,0.012293687759536077,0.0,0.0,-0.0,0.0,0.0,0.0685547892379673,0.0,0.008952771388564118,-0.0,-0.0031427810622612477,-0.0,0.0,-0.0,0.026141239924359832,-0.0,0.4886194883619737,-0.0,0.01556648449187427,0.0
ECU,-0.0,0.01769223804729124,0.0,0.0028748136162609554,-0.0,0.0,-0.0,0.06967726195054794,0.0,0.01069821750468448,-0.002881476772013467,-0.007459848072369591,-0.0,0.0,-0.0,0.027780290083051617,-0.0,0.49090208781793465,-0.0,0.02123433943081488,0.0
EGY,-0.0,0.014885751612389439,0.0,0.0005687840296233063,-0.0,0.0,0.0,0.06920831955315176,0.0,0.007607547395750505,-0.0,-0.004338587425611476,-0.0,0.0,-0.0,0.021146784924752728,-0.0,0.48742033348089403,-0.0,0.016563448456201176,0.0
ETH,-0.0,0.012313056916160131,0.0,0.0,-0.0,0.0,-0.0,0.07018346481920135,0.0,0.008320309407667635,-0.0,-0.002314994956720739,-0.0,0.0,-0.0,0.02230750523243219,-0.0,0.4856779217655101,-0.0,0.01847325416519253,0.0
GAB,-0.0,0.014424466248465405,0.0,0.0016318040676218273,-0.0,0.0,-0.0,0.06861336865550757,0.0,0.009658735835232673,-0.0,-0.0037200677513877655,-0.0,0.0,-0.0,0.02286619223494276,-0.0,0.49147771126131173,-0.0,0.0168262327218494,0.0
GHA,-0.0,0.013812868217434262,0.0,0.0,-0.0,0.0,-0.0,0.06989163721831647,0.0,0.008704163592253697,-0.0,-0.002358037147910933,-0.0,0.0,-0.0,0.02220646042667148,-0.0,0.490269631749158,-0.0,0.015621938092866541,0.0
GIN,-0.0,0.015657438190736932,0.0,0.0,-0.0,0.0,-0.0,0.06826310740484805,-0.0,0.008387454273115217,-0.0,-0.0018013026948021913,-0.0,0.0,-0.0,0.018203860939499588,-0.0,0.484295417215287,-0.0,0.01409253042955587,0.0
GNQ,-0.0,0.015653240018710393,0.0,0.0016123336687916716,-0.0,0.0,0.0,0.06534670400461201,-0.0,0.008009394973200678,-0.0,-0.0,-0.0,0.0,-0.0,0.022132103577206658,-0.0,0.48277204306627103,-0.0,0.014541110981612669,0.0
IDN,-0.0,0.01427332296404157,0.0,0.0010223750933875894,-0.0,0.0,-0.0,0.07083311702954867,0.0,0.004230555020388388,-0.0,-0.0023555006410672045,-0.0,0.0,-0.0,0.02194623108742596,-0.0,0.4864697598470882,-0.0,0.01735787274687742,0.0
IRN,-0.0,0.015013190714115405,0.0,0.0,-0.0,0.0,-0.0,0.07099732068239148,0.0,0.009439075764828447,-0.0,-0.0014238281598808347,-0.0,0.0,-0.0,0.020626600461100753,-0.0,0.4899114823270813,-0.0,0.01631153238881994,0.0
