n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
872,230,30,0.7200106829110413,0.5091594488358868,0.7180243874643857,0.5109622922083612,0.7204053032148123,0.5088005146008285,0.8630072779251307,0.35614907825811176,27
1143,305,35,0.6284919501853062,0.6272768229126015,0.6294526852839751,0.626465216027305,0.6290303870019406,0.6268220933289352,0.7166607500140163,0.5478081598164681,28
764,205,27,0.6846645172164156,0.5612656705971029,0.6951943196031636,0.5518151081737718,0.6858909629304394,0.560173131799189,0.7263443685671642,0.5228585974386866,29
840,225,30,0.7034112479754712,0.5926672194207206,0.6904480852495934,0.60548071626341,0.7051019856725746,0.5909755218171004,0.8146603936893904,0.4685087289006841,30
1033,280,36,0.7221911137129435,0.5120886408304387,0.742107786156224,0.49339096324212434,0.7231576681992918,0.5111970335662336,0.8083750405196198,0.42530267444167674,31
1040,285,36,0.6998081296038612,0.5478032417074138,0.6860440964993492,0.5602210993408896,0.6964435085295158,0.5508646411643228,0.7560272896109421,0.4938507981725607,32
722,195,29,0.8161490619077971,0.42767656028439915,0.8282347615716448,0.4133806670107714,0.8163529076164918,0.42743940019382387,0.8207489962026342,0.4222924545379323,33
1161,310,36,0.619176983321159,0.548545962930363,0.6277715936677579,0.5423207046074,0.6214884359526991,0.5468786952076843,0.7999629456253916,0.3975636361850346,34
919,255,33,0.7439775737640855,0.5036962226177695,0.7292223533717775,0.5180075553975967,0.7402134777924794,0.5073854365026008,0.872091387882762,0.35602425210950933,35
966,260,29,0.6317973190890009,0.6087948724617498,0.6366759011626322,0.6047482430811301,0.6320235273766812,0.6086078347094686,0.5307003958870962,0.687309911405509,36
850,230,28,0.8087448249999716,0.43095760041636877,0.8124048410202231,0.4268141021166397,0.809942108541849,0.4296065559187223,0.8055583174427345,0.4345328680473753,37
994,265,32,0.6609070005120188,0.522396945579101,0.6762275470903347,0.5104593519263503,0.6636810066815687,0.5202557803919485,0.7374262517292012,0.4596919186143484,38
858,235,33,0.7917963063535204,0.4817507495930823,0.7975291951006173,0.47507194999646063,0.7915073004521842,0.48208499084757106,0.7920202262499194,0.48149162211135205,39
1082,290,32,0.7504672702520431,0.49669728472797015,0.7530125413240281,0.4941575986301244,0.7497861400361384,0.497374720860781,0.7804963789466873,0.4658529731617591,40
997,270,33,0.820452146651292,0.45460264567246816,0.8179717364351297,0.4577319878272263,0.8208170361427104,0.454140473363317,0.8601964382125186,0.4011446166645157,41
1057,285,37,0.710362409453484,0.49852353987008846,0.7126795051773165,0.49652544581009916,0.7120149807555889,0.49709930449622985,0.808966650332001,0.4048673943118221,42
781,215,31,0.7068635637417546,0.5098505121459173,0.7073733996183155,0.5094069418935849,0.705506958870106,0.5110289178477192,0.7805027372844116,0.4411868022216652,43
1106,300,36,0.6024558100519328,0.6077497393375901,0.6006891578933978,0.6090986361659634,0.6049440854260151,0.6058447656036415,0.7050285916269816,0.5235064498877978,44
935,250,38,0.6692691676473728,0.6052333159283775,0.6891664953884491,0.5867449994073538,0.6728970984866469,0.6019046281085851,0.8240514533195201,0.44144675262882704,45
901,240,32,0.6865996967324335,0.5564705670119436,0.6824056146758681,0.5601816781811882,0.6888950713952753,0.5544289993840247,0.7318159343708104,0.5147649606815747,46
975,265,33,0.7263641359376765,0.5089194926607986,0.6850017992965021,0.5460301369660261,0.7237512141981729,0.5113435305772817,0.7551626650884287,0.48139480420767367,47
