n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,b
1467,0.6876107514412422,-2.341649744250153,0.18714167513419255,1.1593992465191405,0.12668152176980305,0.27460997096600215,0.023088800307076753,0.15231705896067746,0.02587881985337257,0.8936101182769449,0.06949468394089114,-0.005259721953065455,0.006449431058097825,-0.1834870732618742,0.017107873295670522,-0.002537915887682208,0.0005076999769074595,-0.26692537858224535,0.03368085811852867,0.07022055142261563,0.007214599190155587,-0.47894943013562763,0.05616215629121469,-0.021035819763655483,0.00948165746633213,32
1075,0.8062662594283968,-4.517796467306388,0.14999190843951757,1.942938979301982,0.10531768849566134,0.2608904654403868,0.02911331538894519,-0.038236366697496804,0.02083573119342527,1.3667574466244408,0.06390768292095991,0.04937388976712677,0.005193197619528031,-0.02357410666340684,0.0110716842676841,0.005038285620563154,0.0004065455989546269,0.3417261522553074,0.03327641204630914,0.03496475313010455,0.01074770038101392,-0.0851285253789576,0.035976654779048683,0.019221435072480284,0.008041336590511036,33
1541,0.6423459450944069,-2.605931127594813,0.16240901645165431,1.3990201534675164,0.12026551704509961,0.11045694352037769,0.021970069729105157,0.022809590414342204,0.025121126248383963,1.3793111042386688,0.07573364576436371,-0.024514704554378524,0.005793645849059901,-0.08834735071921777,0.007149327957626628,-0.002158443262805271,0.0004833970348592228,0.10553603571401332,0.032626688665463865,0.0018250681660092285,0.008047684188204847,-0.28848247754160583,0.036317619823707153,0.019553557254769063,0.0074073149896885845,34
1259,0.6807020750189456,-3.2613720411249094,0.18692222022070604,1.8632164978875925,0.12749772003644855,0.1785720099289601,0.028275679861574032,-0.09931276007665063,0.03000675279084166,1.2295760709913752,0.09472296390033501,-0.04779068553765102,0.007284997074869487,-0.10256003804684584,0.014719418723864404,-0.0010471938616341619,0.0006130919863406387,-0.030050883952385504,0.03401298996713199,-0.0020713018310434747,0.011560169196942832,-0.4087854371918813,0.04974775887260775,0.04244775516888935,0.013666739669616353,35
1322,0.6802036504923671,-3.576564599529644,0.17244281266462225,2.383555703951897,0.13129756424995748,0.16114413195887764,0.02673750431316184,0.13745318604571394,0.029666104793232208,0.6031631615699944,0.08285125735594079,-0.03062921600449326,0.006670799282621297,-0.06477022953598026,0.007762879970570718,0.0010035764941456024,0.0005573953895381628,0.18738244676284954,0.02957377261327523,-0.04497027183084333,0.01141668527478376,-0.2519190570485222,0.03468219384264941,0.0019928919633201182,0.006228635105814776,36
1160,0.7630481361047946,-3.6890391751968514,0.14431653103352501,1.602211192598419,0.10042396561533928,0.2923339468317187,0.019866951443166768,0.036359847681941906,0.02385492892686103,1.1065562310145367,0.07734229940246164,0.018627581152744814,0.005775764013594423,-0.07673856644253832,0.014286331463139068,0.0034775006302912924,0.00040818629710382234,0.07738802674242881,0.02664332901588609,0.01952185644798177,0.009808164913184578,-0.12757040245096146,0.060227454350559276,0.05167484293172482,0.00930726836185654,37
1345,0.6123152635029697,-2.7738228780791694,0.1779480488112073,1.1678333388116848,0.11480018739435092,0.2158299963340073,0.03568849108974025,0.17504621056899594,0.024643154727186388,0.9489154395213469,0.06918345806203058,-0.0052306262753182165,0.005792141908785001,-0.05764224434038821,0.01808711809736824,0.0034978344094790583,0.0004820554444215506,0.055658391524879586,0.032663684467409075,0.07721672800416551,0.011582391713525684,-0.10312409512196986,0.05988002416707615,-0.022321033993043235,0.008864205679340141,38
1262,0.7851132723316727,-4.818310263249709,0.18078206850610617,2.541000285510961,0.13531135293222016,0.27735285631017237,0.032218625407222784,0.08353568182365877,0.027281625292821247,1.671622929979515,0.09342512835984643,0.05204248265092633,0.005304684397740486,-0.02335547369730378,0.007876823872192903,-0.005354507140684524,0.00046592732076406276,0.1640159540122274,0.03640962150995844,-0.07342043918065748,0.015957915885003785,-0.12430316515491814,0.023215451243392974,-0.009824006543693567,0.0064933101412002914,39
1483,0.7085865542188264,-3.4218036563622913,0.15930239265111537,2.173639068122373,0.11683922709423324,0.31190449740123416,0.029816991121187242,0.18683541088044342,0.02437540617808246,0.5045447413422469,0.08361047531252591,-0.045904557415464065,0.005547037169818732,-0.06346231463282055,0.008365437468874456,-0.0011016767626761386,0.00044930299950207307,0.05931966706946329,0.030164851140444288,-0.02877682042581293,0.015507301964184369,-0.17211451225002442,0.0346103548591567,-0.01639057089237835,0.005899721754205787,40
1331,0.7423307947852373,-3.4394518115127966,0.18167770836660002,1.8077596278769585,0.1193922940652258,0.4147141590895915,0.03574276018992753,0.0064382551457791495,0.02988018723258087,1.0299010091999923,0.08044013863447881,-0.05513941749242569,0.006977334734955468,-0.13954839141408618,0.010629630689528501,-0.0032075681943697703,0.0005671360015414405,-0.2739669720031168,0.03363147383625716,0.10217470213667681,0.015951878206865507,-0.41528143905553005,0.03398818953101782,-0.007150155477396883,0.008522586180310163,41
1423,0.6860848161313422,-3.403154836793959,0.15069123932865283,2.266466630009991,0.1098767157838012,0.20085472415209626,0.021728782343914826,0.02731259443899462,0.024083113012690074,1.076712192209024,0.06969610377016847,-0.020357084230760596,0.006391023070416973,-0.11410210380653626,0.007068752354715868,-0.005092049445564504,0.0005080334426442869,-0.009605125703063468,0.03650404017011494,-0.010875283651682183,0.011435865912928438,-0.3915113834039756,0.03329499899101692,-0.007924809937194743,0.009006582373311643,42
1153,0.626729335643585,-3.2490872619944624,0.22276844352016428,2.164167778057569,0.15583005509643158,0.054152863720467834,0.04103561118520145,0.08781604714433641,0.02724770964459511,0.8624603383942263,0.09355016478226734,0.02351747443342736,0.0073627192461875116,-0.053220701488637806,0.016242164378581576,-0.0015869662232607094,0.0006315381171247984,0.14408024612581932,0.03980563338793377,-0.10071949146965717,0.017619266825564882,-0.13419893542036837,0.06131990937810856,-0.01003021940713706,0.008597363866148091,43
1524,0.6309009132849444,-3.786304343603904,0.19255687262417984,2.6219238446259316,0.12881698841560074,0.14795107022382065,0.03206114227316702,-0.01816212819000157,0.031344594021907396,0.6151541331012056,0.08333505674392208,-0.028128167736013215,0.007122337257579794,-0.13080757372413732,0.011386811383975038,-0.0019373738663847364,0.0005634096069447155,-0.007902279947637494,0.032282248313997786,0.07240218662663582,0.014833901327600936,-0.3847252641548611,0.03761125628126463,0.010438549912418178,0.013554747070255562,44
1335,0.750934751240064,-3.8541253749248217,0.16531707337301355,2.5235574178046667,0.11543407787355092,0.17544320630836388,0.02329383701035946,0.10944845515393356,0.027841968013806284,0.8185621070856258,0.07330747535325062,0.024683423435016123,0.00598374904429286,-0.17254159728557333,0.013545140735726173,-0.002772119617917407,0.0004995745396527275,-0.04805271025456781,0.030246492176416454,0.03606154869878926,0.010995526933334039,-0.5291283092466709,0.05303567527981913,0.016794631812986335,0.009717504119618591,45
1228,0.6646521766756359,-3.3789947139828005,0.25374023474443974,2.2613887661716463,0.16077612470884317,-0.03995252046564732,0.05500124240464521,-0.04394404876186742,0.032960589845368156,1.627282000878693,0.09900649223191889,-0.01832165091253155,0.006550473495913413,-0.090369648996871,0.01713908667831769,-0.0016776997677609633,0.0005842807511442322,0.0787754062882641,0.04014223422799585,-0.05351571929941072,0.01605195478802415,-0.0995378740884719,0.07718210725460184,-0.0804404510266938,0.029179612234382327,46
